No.,Name,Fide-No,FED,IRtg
1,Gunasekaran K. ,5009197,IND,2017
2,Anilkumar O.T. ,5017530,IND,2006
3,Abdulkhader A. ,5058201,IND,1844
4,Sooraj M R ,35014730,IND,1838
5,Raju S ,5043735,IND,1835
6,Joy Lazar M.A. ,5015677,IND,1769
7,Joy Antony ,5009200,IND,1751
8,Abdul Majeed N. ,5008751,IND,1741
9,John Veny Akkarakaran ,46665773,IND,1722
10,Meenakshi Sundaram ,5034990,IND,1708
11,Raju O A ,5070090,IND,1706
12,Eldho Skaria ,46618953,IND,1703
13,Madhusoodanan K.R. ,5007798,IND,1698
14,Sharath E. ,5035155,IND,1697
15,Suresh P K ,5015391,IND,1694
16,Nijai Giri ,35054872,IND,1672
17,Raveendran C.R. ,5011116,IND,1667
18,Vishnu Menon ,25619691,IND,1662
19,Mohanan U.C. ,5002826,IND,1658
20,Abhinav Chakrapani Santhalayan ,46618791,IND,1647
21,Nithyan S ,45024456,IND,1625
22,Rejith Babu C ,25008790,IND,1580
23,Bright Lee M Sunilkumar ,46618929,IND,1577
24,Aswin.P.G  ,5058252,IND,1576
25,Nandish V S ,45084297,IND,1572
26,Felix Moothedath ,45042349,IND,1568
27,Mihir A K ,45078874,IND,1542
28,Jos Paul Davis ,5065933,IND,1520
29,Prasad Subramanian ,46692533,IND,1515
30,Mohammed Fasal V U ,5065941,IND,1507
31,Peter K P ,25092367,IND,1503
32,Surya Jaya ,11202920,IND,1478
33,Jyothika U R ,35054791,IND,1475
34,Hrishikesh A J ,25670735,IND,1467
35,Joju K V ,46621512,IND,1463
36,Sreerag M R ,25045415,IND,1455
37,Ebin Benny ,46600884,IND,1448
38,Gowrichander U ,25009567,IND,1430
39,Sidharth Rajeev ,25691325,IND,1425
40,Satheesh A S ,46605444,IND,1424
41,Francis N. P. ,5009227,IND,1410
42,Sudeepan K S ,5083842,IND,1403
43,Nivin Ravichandran ,25924672,IND,1401
44,Bala Ganeshan ,35014498,IND,1399
45,Freddin V Jose ,25687506,IND,1388
46,M Tulasi Ram Kumar ,5022649,IND,1385
47,Adra P ,45058555,IND,1369
48,Srihari Satheeswaran ,45043841,IND,1367
49,Mohammed Salih Pk/Bl ,5024641,IND,1360
50,Naveen Ramdas ,25965948,IND,1342
51,Pournami S ,25732439,IND,1341
52,Ashil A J ,25670700,IND,1339
53,Safar Hussain ,45089230,IND,1339
54,Aasta Joy ,25761137,IND,1338
55,Satheesh M ,45034974,IND,1338
56,Heera P ,25081209,IND,1331
57,John Paul P J ,45034915,IND,1331
58,Sumesh Kabeer ,25024914,IND,1326
59,Radhakrishnan.K.S  ,5058473,IND,1323
60,Priyanka Bhatt ,45047685,IND,1315
61,Antony Simethy ,25012886,IND,1309
62,Abhishek Raghupathy ,25610201,IND,1297
63,Sibin Paul ,45085951,IND,1290
64,Vishnu Dath V D ,35014781,IND,1290
